Time_Step,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4
0,0,0,1,1,0
1,1,0,1,0,0
2,1,1,1,2,0
3,0,0,1,0,1
4,2,1,0,1,1
5,1,1,1,0,0
6,1,0,2,0,0
7,1,0,0,0,0
8,0,0,1,1,2
9,2,1,0,1,0
10,0,0,0,1,1
11,0,1,2,0,1
12,0,0,1,0,1
13,0,0,1,1,2
14,0,1,1,0,1
15,0,0,1,1,1
16,0,0,2,1,1
17,0,1,0,1,0
18,1,0,0,1,2
19,0,1,0,1,0
20,1,2,1,0,1
21,0,0,2,0,1
22,0,1,0,2,0
23,0,1,1,0,1
24,1,1,1,0,0
25,0,2,0,0,1
26,0,1,1,0,0
27,1,0,0,0,0
28,0,1,1,1,2
29,2,0,0,1,1
30,1,2,1,1,0
31,0,1,1,1,0
32,0,1,0,2,1
33,0,0,0,1,2
34,1,1,0,0,1
35,1,1,0,0,0
36,0,1,1,1,0
37,0,1,1,0,0
38,0,0,0,1,2
39,0,1,1,0,0
40,1,0,1,0,1
41,0,1,2,0,0
42,0,1,0,1,0
43,0,1,0,0,0
44,2,0,1,1,0
45,1,0,0,1,0
46,1,0,0,1,1
47,1,0,1,2,0
48,0,1,1,1,2
49,2,0,1,0,0
50,0,0,1,0,1
51,1,0,2,1,0
52,0,0,0,2,1
53,0,1,0,1,0
54,1,1,0,0,0
55,1,2,1,0,1
56,1,0,0,1,1
57,0,1,0,1,0
58,0,0,1,1,2
59,2,0,0,1,1
60,0,1,0,1,1
61,0,0,1,1,1
62,1,0,0,2,1
63,0,0,1,1,0
64,2,1,0,1,0
65,1,2,0,0,1
66,1,1,0,1,0
67,0,0,1,1,0
68,1,0,1,0,2
69,0,0,1,1,0
70,0,2,1,0,0
71,0,1,0,1,0
72,1,0,0,2,0
73,1,0,0,1,0
74,1,1,0,1,0
75,0,0,1,1,0
76,1,0,0,1,1
77,1,0,0,2,0
78,1,0,0,1,1
79,2,1,0,0,0
80,0,2,0,1,0
81,0,0,0,1,1
82,0,1,1,0,1
83,1,0,1,1,2
84,2,1,0,1,0
85,0,0,1,0,1
86,0,1,2,1,0
87,0,1,1,0,0
88,0,0,0,1,2
89,0,0,1,1,1
90,1,2,1,0,0
91,0,0,2,1,1
92,0,1,1,0,1
93,0,0,1,1,0
94,2,1,0,0,1
95,1,2,0,1,1
96,1,1,2,0,0
97,1,1,0,2,1
98,1,1,0,0,1
99,2,0,1,1,1
