SU,PU,Free,PU Collision %,SU Usage %,Algorithm,Channel
36,11,53,6.0,36.0,Random,0
42,9,49,4.0,42.0,Random,1
44,9,47,4.0,44.0,Random,2
53,9,38,9.0,53.0,Random,3
39,11,50,4.0,39.0,Random,4
40,13,47,3.0,40.0,Greedy,0
46,12,42,5.0,46.0,Greedy,1
44,12,44,6.0,44.0,Greedy,2
38,12,50,8.0,38.0,Greedy,3
41,10,49,3.0,41.0,Greedy,4
36,10,54,3.0,36.0,PPO,0
33,11,56,0.0,33.0,PPO,1
43,10,47,5.0,43.0,PPO,2
41,9,50,4.0,41.0,PPO,3
37,12,51,3.0,37.0,PPO,4
45,12,43,7.0,45.0,NSGA-II + PPO,0
39,12,49,6.0,39.0,NSGA-II + PPO,1
39,7,54,3.0,39.0,NSGA-II + PPO,2
32,12,56,3.0,32.0,NSGA-II + PPO,3
40,10,50,4.0,40.0,NSGA-II + PPO,4
