Algorithm,Average Reward,Jain Fairness Index,PU Collision %,SU Usage %,Channel
Random,0.9218607226791921,1.0,6.0,36.0,0
Random,0.9218607226791921,1.0,4.0,42.0,1
Random,0.9218607226791921,1.0,4.0,44.0,2
Random,0.9218607226791921,1.0,9.0,53.0,3
Random,0.9218607226791921,1.0,4.0,39.0,4
Greedy,3.272315496777199,0.9999999999999998,3.0,40.0,0
Greedy,3.272315496777199,0.9999999999999998,5.0,46.0,1
Greedy,3.272315496777199,0.9999999999999998,6.0,44.0,2
Greedy,3.272315496777199,0.9999999999999998,8.0,38.0,3
Greedy,3.272315496777199,0.9999999999999998,3.0,41.0,4
PPO,3988.447110411682,1.0000000000000002,3.0,36.0,0
PPO,3988.447110411682,1.0000000000000002,0.0,33.0,1
PPO,3988.447110411682,1.0000000000000002,5.0,43.0,2
PPO,3988.447110411682,1.0000000000000002,4.0,41.0,3
PPO,3988.447110411682,1.0000000000000002,3.0,37.0,4
NSGA-II + PPO,3373.167687982821,0.9999999999999997,7.0,45.0,0
NSGA-II + PPO,3373.167687982821,0.9999999999999997,6.0,39.0,1
NSGA-II + PPO,3373.167687982821,0.9999999999999997,3.0,39.0,2
NSGA-II + PPO,3373.167687982821,0.9999999999999997,3.0,32.0,3
NSGA-II + PPO,3373.167687982821,0.9999999999999997,4.0,40.0,4
